author_id,id,text
1363814088053153795,1497202759187468292,岩井と澤部のネタからの急なBLジングルなんなんだよめちゃくちゃ笑ったじゃねぇか #meganebiiki
1478451692106838021,1497202219875143680,"ハライチ澤部に心配されるAマッソ村上

"
1353207413105520640,1497200337274368000,澤部
1266037570086920192,1497200280890671104,"3

○○:推薦は内申書もかなり重要視されますからね、自分が採点されてるみたいで

澤部:僕はまだ受験生を持ったことがないですが、大変なんですね

理佐:ええ、今にも分かりますよ

茜:担任なんて持つもんじゃありませんね"
1322869500472037376,1497197841445314562,ナチュラルな澤部呼びでしんでしまった
1459477260009107457,1497197210546872332,"花澤香菜さんラジオオタクなのもさんま御殿を声出して応援しながら見たのも岩井さんに澤部扱いされてるのも可愛すぎる。面白いと思うラジオに福田さん関わってるのも共感！ご夫婦で超人気声優てことしか知識なかったけど、とにかく可愛くて撃ち抜かれた🔫
#佐久間宣行ANN0"
2358357798,1497196390883082248,YouTubeの広告で澤部の顔を観るのが苦痛（怒）
1655649486,1497196305604509698,えー！澤部さんそうなんだ
952905396972175360,1497196099685130240,"@risakumaponms 澤部くんの番組📺だよね😊
ながら見してて、トイレ行こうかと
部屋出ようとしたら
流れ来たから慌てて戻った(´∀｀*)ﾌﾌ
カッコよくてビックリ←"
1440208396095930370,1497194361255342080,"#相葉マナブ

毎週日曜18時〜

相葉雅紀　小峠英二
澤部佑

毎回美味しそうで
いつも楽しみに観てる☺️"
1313940508440289280,1497194095000707077,"澤部プレゼンツ　　
じわるし、なける"
990956419368210432,1497193769141039107,"@MmNkmr1 鬼滅の刃、昔あっぱれさんま大先生に出てたってくらいしか知らない🤣
今はハライチの澤部じゃない方とYouTubeに出てる😊
 "
91507229,1497192487999340549,@etc_mrmr 仕事辞めたらスキンにはしないけど澤部みたいな坊主にはしたい
1440324404232081414,1497192159232999428,"きみせかにチャンネル替えたらいきなりねるちゃんバックハグ状態でびっくりして澤部っち出てる番組に替えちゃった😂

録画してるからまた心の準備してみます(ゾンビもの苦手😂)
#長濱ねる"
1350013776104366087,1497191937530499073,これを思い出しました 澤部さんはノンケすぎる
1272664078561931264,1497191807087624193,"ハライチ澤部さんーー！
お暇でしょうからエゴサで見つけてくれると信じてる！大好き！
矢作さん猫ちゃんにキレてる澤部さん超笑った！"
1103088992206020608,1497191452870602756,あの澤部が株？！
398061414,1497191071624794118,澤部さん不在のターン！一晩たつとやっぱり寂しいよー！！ってなるので今週（というか明日）漫才してるハライチが見られるのはありがたタイミングだなあ…と。
1440656987901939721,1497189495812210689,"#清志の休日 ビジュアル公開📸
B班【鈴本香澄 役🐶聖香】

自動車会社スプリットの社長。優しく強く誰もが憧れる敏腕女性社長。しかし裏では澤部と繋がっていると噂が流れる。 "
887834104820973568,1497189469480316938,"(∩´∀`∩)わーい💚
澤部くんの  #爆買いスター恩返し 
見てたら  #明治おいしい牛乳 のCM見れた🐮🥛

嬉しいな( *´꒳`* )
 #相葉雅紀"
1150598607684300800,1497189007234842624,"ブレックス民の私からすると全くブレックスの選手を推してくれない澤部からバスケの話を聞きたくないと思ってる……
というか、バスケが好きな芸能人がゲストで呼ばれて好きな選手を答える時、だいたいブレックス以外の選手を言う気がする🤔"
1190884144005337089,1497188606867550208,"澤部くんの爆買いの番組で、
相葉くんのCMきたー🥛
#相葉雅紀"
1440656987901939721,1497188494644776960,"#清志の休日　ビジュアル公開📸
A班【鈴本香澄 役🐶岡田菜々美】

自動車会社スプリットの社長。優しく強く誰もが憧れる敏腕女性社長。しかし裏では澤部と繋がっていると噂が流れる。 "
1416966012835024898,1497187946860011520,ハライチ澤部、コロナ濃厚接触者発表するもニュースにならず！心配されたのは櫻坂番組のことだけだった「この世界どうかしてる」 –  
1440656987901939721,1497187801322127366,"#清志の休日 ビジュアル公開📸
【澤部 役🐶本多羅偉】

正体を知る者は少ない謎の男。彼は今とある計画を目論んでいる。だがそれは決してあってはならないものだった。一体その計画とは何なのか。 "
